片区,总价(万元),小区,朝向,面积
东城,780,北竹杆胡同,2室1厅,68.16
东城,586,贡院西街,1室1厅,44.51
东城,768,民安小区东直门内北小街,2室1厅,77.08
东城,660,朝内大街203号院,2室1厅,50.43
东城,850,东直门南大街,3室1厅,80.17
东城,625,幸福南里,2室1厅,55.05
东城,595,西营房,1室1厅,55.92
东城,633,国瑞城中区,1室1厅,58.67
东城,489,西营房,1室1厅,36.31
东城,629,东厂胡同,2室1厅,47.23
东城,542,东直门北大街,1室1厅,48.26
东城,815,东直门内大街,2室1厅,71.45
东城,798,沙滩后街55号院,2室1厅,56.91
东城,732,小黄庄一区,2室1厅,68.39
东城,760,分司厅胡同11号院,2室1厅,55.61
东城,799,民安小区东直门北中街,2室1厅,77.87
东城,710,北官厅胡同甲二号院,2室1厅,57.12
东城,799,竹杆胡同,2室1厅,71.96
东城,682,和平里七区,2室1厅,50.65
东城,660,交道口北三条,2室1厅,56.15
东城,669,东堂子胡同,2室1厅,63.85
东城,1130,和平里中街3号院,2室1厅,95.27
东城,868,美术馆后街,3室1厅,72.88
东城,790,幸福家园二期,2室1厅,65.25
东城,526,定安里,3室1厅,65.36
东城,960,安定路,3室1厅,90.69
东城,498,天坛东里中区,2室1厅,49.03
东城,1695,雍和家园一期,3室1厅,158.38
东城,500,光明楼,2室1厅,45.85
东城,635,培新街乙5号院,1室1厅,55.15
东城,838,兴隆都市馨园,2室1厅,74.17
东城,555,长青园,2室1厅,57.75
东城,580,金桥国际,1室1厅,61.03
东城,865,东直门外斜街,4室1厅,89.92
东城,1290,聚龙花园,3室2厅,180.58
东城,730,幸福北里,3室1厅,70.46
东城,1680,新景家园东区,3室2厅,154.95
东城,2000,和平里东街10号院,3室2厅,128.22
东城,1120,美惠大厦,3室1厅,184.71
东城,885,安化南里,2室1厅,87.8
东城,1160,新景家园东区,3室1厅,88.45
东城,740,左安浦园,2室1厅,85.57
东城,898,西营房,2室1厅,81.74
东城,490,琉璃井东街,2室1厅,54.65
东城,890,东花市北里东区,2室1厅,75.16
东城,620,东交民巷21号院,2室1厅,49.38
东城,1380,和平里中街3号院,3室1厅,106.98
东城,1850,中海紫御公馆,3室2厅,136.14
东城,888,小黄庄一区,3室1厅,69.34
东城,985,东花市北里中区,2室2厅,103.41
东城,840,东直门内大街,2室1厅,65.01
东城,725,潘家坡胡同4号院,3室1厅,66.45
东城,669,华龙美晟,2室1厅,80.39
东城,699,中海紫御公馆,2室1厅,61.66
东城,930,朝阳门南小街,2室1厅,80.32
东城,360,东堂子胡同,2室1厅,56.78
东城,402,兴隆都市馨园,1室0厅,28.66
东城,265,协和胡同,1室0厅,15.1
东城,548,冠城名敦道A区,1室0厅,63.01
东城,429,和平里一区,1室0厅,29.02
东城,639,安德里北街25号院,2室1厅,55.08
东城,699,新景家园西区,1室1厅,59.18
东城,795,国瑞城中区,2室1厅,75.49
东城,628,胡家园小区,2室1厅,59.19
东城,435,新中西街,1室1厅,40.51
东城,580,和平里五区,1室1厅,40.57
东城,695,新景家园东区,1室1厅,59.19
东城,682,望陶园小区,2室1厅,82.42
东城,570,本家润园C区,1室1厅,53.24
东城,875,上龙西里,2室1厅,69.92
东城,760,东直门外大街(东城）,2室1厅,78.76
东城,659,广渠家园,2室1厅,71.27
东城,915,东直门外大街(东城）,3室1厅,88.38
东城,786,胡家园小区,3室1厅,71.75
东城,588,西营房,1室1厅,57.53
东城,835,民旺园,2室1厅,62.93
东城,410,兴隆都市馨园,1室0厅,39.97
东城,520,后永康胡同2号院4号院,1室1厅,45.72
东城,950,安定门东大街,2室1厅,87.71
东城,465,景泰东里,1室1厅,51.4
东城,750,安外东河沿,2室1厅,58.94
东城,598,左安浦园,2室1厅,62.76
东城,568,和平里五区,1室1厅,40.98
东城,675,东四北大街,2室1厅,61.7
东城,742,和平里五区,2室1厅,55.12
东城,835,东环居苑,2室1厅,78.95
东城,789,十字坡东里,3室1厅,72.37
东城,679,苏州胡同,3室1厅,77.59
东城,670,前门东大街1号,2室1厅,52.02
东城,790,民安小区东直门内北小街,2室1厅,77.22
东城,1030,青年湖南街,2室1厅,79.41
东城,595,景泰西里西区,2室1厅,76.93
东城,550,安化北里,2室1厅,58.26
东城,810,东四四条,4室1厅,77.89
东城,465,新中西街,1室1厅,44.71
东城,529,广渠家园,1室1厅,51.04
东城,1029,和平里中街3号院,2室1厅,82.95
东城,445,兴隆都市馨园,1室0厅,36.7
东城,435,兴隆都市馨园,1室0厅,35.09
东城,505,东方财富,1室0厅,44.82
东城,535,海晟名苑北区,1室0厅,48.46
东城,495,西营房,1室1厅,36.31
东城,505,东方财富,1室0厅,44.82
东城,396,兴隆都市馨园,1室0厅,31.54
东城,460,建国门北大街5号,1室0厅,67.44
东城,520,安化北里,1室1厅,57.55
东城,365,百荣嘉园,1室1厅,47.25
东城,622,工体北里,2室1厅,54.37
东城,668,北竹杆胡同,1室1厅,55.12
东城,905,朝阳门北小街,2室1厅,67.96
东城,558,幸福南里,2室1厅,50.14
东城,450,定安里,2室1厅,57.3
东城,660,香河园北里,2室1厅,69.07
东城,670,国瑞城中区,2室1厅,65.43
东城,580,苏州胡同,2室1厅,53.46
东城,830,安外大街3号院,3室1厅,70.07
东城,649,本家润园C区,2室1厅,63.75
东城,862,安外西河沿路1号院,1室1厅,61.33
东城,520,夕照寺西里,1室1厅,42.59
东城,399,兴隆都市馨园,1室0厅,31.5
东城,1847,富贵园四区,4室2厅,153.52
东城,1350,土儿胡同,3室2厅,123.54
东城,900,富莱茵花园,2室1厅,136.84
东城,1850,本家润园一期,3室2厅,154.09
东城,880,中剪子巷,3室1厅,56.74
东城,1100,幸福家园三期,3室1厅,130.01
东城,780,兴隆都市馨园,2室1厅,73.33
东城,610,左安浦园,1室1厅,62.76
东城,698,台基厂三条,2室1厅,60.79
东城,1140,万国城MOMA,2室1厅,92.52
东城,660,灯市口大街,1室1厅,50.35
东城,632,东环居苑,1室1厅,57.71
东城,3209,左安漪园,4室2厅,373.34
东城,768,南岗子,3室1厅,78.07
东城,1360,朝阳首府,2室1厅,124.24
东城,625,培新街乙5号院,1室1厅,55.15
东城,600,金桥国际,1室1厅,63.35
东城,1620,龙潭北里,4室1厅,165.5
东城,1460,东花市北里西区,2室2厅,134.86
东城,1650,东后河沿,4室2厅,191.4
东城,649,广渠家园,2室1厅,60.31
东城,540,青年湖北里,2室1厅,43.31
东城,549,南岗子,2室1厅,53.59
东城,503,北岗子街,2室1厅,50.32
东城,2050,当代MOMA,3室2厅,189.66
东城,650,天坛西里东区,2室1厅,74.02
东城,1168,东中街,3室2厅,107.35
东城,930,远洋德邑,2室1厅,97.64
东城,599,仓南胡同12号院,3室1厅,65.42
东城,1150,煤渣胡同,4室1厅,97.75
东城,500,天坛西里北区,2室1厅,54.02
东城,820,东四块玉南街,2室1厅,98.01
东城,1300,富贵园一区,2室1厅,87.32
东城,1030,建国门北大街5号,3室1厅,177.32
东城,1116,兴化西里,3室2厅,115.94
东城,598,天坛东路64号,2室1厅,57.67
东城,1050,长青园,3室1厅,102.58
东城,960,新景家园东区,2室1厅,80.46
东城,550,白桥大街,2室1厅,57.86
东城,999,太华公寓,2室1厅,149.58
东城,735,建国门北大街,3室1厅,74.58
东城,710,地坛北里,2室1厅,56.07
东城,405,兴隆都市馨园,1室0厅,29.36
东城,480,城市亮点,1室1厅,47.18
东城,666,安德路47号院,2室1厅,58.38
东城,575,和平里一区,1室1厅,42.56
东城,806,竹杆胡同,2室1厅,68.36
东城,2655,丹耀大厦,3室1厅,265.44
东城,589,胡家园小区,2室1厅,52.83
东城,635,花市枣苑三期,1室0厅,52.14
东城,798,安贞苑50号院,2室1厅,65.43
东城,590,国瑞城东区,1室1厅,55.15
东城,595,新景家园西区,1室1厅,54.46
东城,820,普渡寺西巷,1室1厅,56.16
东城,620,香河园北里,2室1厅,59.34
东城,560,北官厅胡同,1室1厅,38.31
东城,716,保利蔷薇,1室1厅,59.25
东城,808,民旺园,3室1厅,70.71
东城,810,竹杆胡同,2室1厅,68.25
东城,950,和平里九区,3室1厅,96.83
东城,1195,土儿胡同,3室1厅,83.69
东城,608,新中西街,2室1厅,58.61
东城,2050,冠城名敦道B区,3室1厅,179.31
东城,738,美术馆后街,2室1厅,56.26
东城,660,新中西街,3室1厅,75.43
东城,815,元嘉国际公寓,2室1厅,90.4
东城,1150,中海紫御公馆,2室2厅,91.53
东城,870,上龙西里,2室1厅,89.17
东城,1100,新景家园西区,3室1厅,91.0
东城,870,东花市北里东区,2室1厅,85.43
东城,2180,和平新城一期,2室2厅,151.16
东城,2180,和平新城一期,2室2厅,151.16
东城,870,上龙西里,2室1厅,89.17
东城,815,元嘉国际公寓,2室1厅,90.4
东城,950,和平里九区,3室1厅,96.83
东城,1150,中海紫御公馆,2室2厅,91.53
东城,585,龙潭北里,2室1厅,60.78
东城,870,东花市北里东区,2室1厅,85.43
东城,1100,新景家园西区,3室1厅,91.0
东城,810,天坛东里,2室1厅,84.83
东城,1340,保利蔷薇,2室1厅,98.54
东城,1880,海晟名苑南区,2室2厅,142.04
东城,916,交道口北头条24号院,3室1厅,69.99
东城,899,国瑞城东区,2室1厅,77.02
东城,815,恒基中心,2室1厅,101.96
东城,1320,和平新城一期,2室2厅,109.38
东城,850,新景家园东区,2室1厅,73.39
东城,650,前门东大街,2室1厅,58.67
东城,1070,中海紫御公馆,2室2厅,90.08
东城,949,法华南里,3室1厅,97.21
东城,1428,化工大院,3室1厅,95.61
东城,2800,长安太和,4室2厅,229.85
东城,1130,本家润园C区,3室1厅,97.45
东城,1050,金桥国际,2室1厅,125.95
东城,880,左安浦园,2室2厅,97.63
东城,899,和平里七区,3室1厅,74.4
东城,1270,新景家园西区,3室1厅,116.4
东城,1150,西水井胡同,3室1厅,96.74
东城,940,东四块玉北街,3室1厅,111.45
东城,1499,沙滩北街甲2号院,3室2厅,129.08
东城,475,新中西街,1室1厅,44.71
东城,720,东直门内大街,1室1厅,60.01
东城,686,和平里七区,2室1厅,62.84
东城,640,青年湖东里,2室1厅,64.2
东城,870,兴化西里,2室1厅,74.61
东城,480,前门东大街,1室1厅,39.55
东城,645,和平里三区,1室1厅,43.69
东城,270,草厂八条,1室0厅,16.3
东城,1130,北京上舍,2室1厅,103.74
东城,760,新景家园东区,1室1厅,59.87
东城,508,金桥国际,1室1厅,63.79
东城,1270,水上华城,2室1厅,110.67
东城,845,新景家园东区,2室1厅,78.65
东城,736,春秀路,2室1厅,66.44
东城,855,仓南胡同14号院,2室1厅,78.06
东城,609,东营房八条,2室1厅,51.33
东城,700,忠实里,2室1厅,67.95
东城,618,本家润园C区,2室1厅,67.48
东城,453,西革新里110号院,2室1厅,60.27
东城,640,工体北路,2室1厅,64.67
东城,640,青年湖东里,2室1厅,53.23
东城,1030,小黄庄一区,2室1厅,89.26
东城,669,金世纪嘉园,2室1厅,72.2
东城,588,和平里五区,1室1厅,40.57
东城,620,安德路55号院,2室1厅,57.84
东城,550,和平里五区,1室1厅,40.98
东城,768,富贵园四区,1室1厅,61.59
东城,620,十字坡西里,2室1厅,49.59
东城,666,东四七条,2室1厅,51.88
东城,470,安化北里,1室1厅,38.49
东城,640,安德路乙61号院,1室1厅,51.95
东城,620,十字坡西里,2室1厅,49.59
东城,1030,小黄庄一区,2室1厅,89.26
东城,640,六铺炕,2室1厅,53.87
东城,998,朝内大街136号院,2室1厅,75.38
东城,480,永定门东街中里,2室1厅,49.89
东城,850,和平里六区,2室1厅,67.6
东城,440,富莱茵花园,1室1厅,51.95
东城,640,东四十条甲34号院,2室1厅,58.37
东城,566,景泰西里西区,1室1厅,69.67
东城,640,和平里三区,1室1厅,46.13
东城,558,东直门外大街(东城）,1室1厅,46.2
东城,459,崇文门西大街,1室1厅,33.18
东城,439,南岗子,1室1厅,41.34
东城,750,仓南胡同,2室1厅,41.88
东城,530,安外大街,1室1厅,46.83
东城,830,民安小区东直门北中街,2室1厅,71.49
东城,710,豆瓣胡同,1室1厅,47.92
东城,520,东直门南大街,1室1厅,47.18
东城,735,兴隆都市馨园,2室1厅,69.17
东城,645,和平里六区,1室1厅,47.92
东城,758,化工大院,2室0厅,51.46
东城,374,兴隆都市馨园,1室0厅,28.74
东城,720,和平新城一期,1室1厅,55.81
东城,623,体育馆路,2室1厅,61.42
东城,540,安化北里,2室1厅,55.63
东城,1380,左安漪园,2室2厅,121.54
东城,810,花市枣苑一期,1室1厅,66.93
东城,735,保利蔷薇,1室1厅,56.94
东城,699,地坛北里,2室1厅,51.68
东城,289,东堂子胡同,1室1厅,45.72
东城,738,和平里五区,2室1厅,55.12
东城,1060,万国城MOMA,2室1厅,91.98
东城,750,锡拉胡同15号院,2室1厅,62.18
东城,680,和平里七区,2室1厅,58.16
东城,383,兴隆都市馨园,1室0厅,28.6
东城,666,富莱茵花园,2室1厅,87.24
东城,999,新景家园东区,2室1厅,81.27
东城,760,华龙美晟,2室1厅,81.71
东城,608,南岗子,2室1厅,57.87
东城,335,新永外文化用品商城,1室1厅,37.3
东城,2500,冠城名敦道B区,3室1厅,178.95
东城,715,和平里五区,2室1厅,55.12
东城,109,华人一品大厦,2房间1卫,29.94
东城,610,北京上舍,2室1厅,81.62
东城,690,富莱茵花园,3室1厅,86.5
东城,599,禾风相府,1室1厅,46.24
东城,950,新景家园东区,2室1厅,89.47
东城,730,建国门南大街,2室1厅,70.2
东城,705,雅安国际公寓,1室1厅,73.28
东城,580,光明楼,2室1厅,55.51
东城,998,左安浦园,4室2厅,127.01
东城,1370,天天家园,3室1厅,160.63
东城,1200,富瑞苑,3室1厅,129.02
东城,1950,富贵园一区,4室2厅,157.05
东城,935,和平里七区,3室1厅,77.93
东城,1300,上龙嘉园,3室1厅,152.68
东城,605,富贵园三区,1室1厅,58.53
东城,970,朝内大街136号院,3室1厅,87.37
东城,798,新奥洋房,2室2厅,89.38
东城,650,安德路55号院,2室1厅,53.11
东城,650,安德路55号院,2室1厅,53.11
东城,629,国瑞城东区,1室1厅,56.84
东城,986,贡院西街,3室1厅,78.59
东城,900,东方银座,2室1厅,129.92
东城,1145,西营房,3室1厅,102.88
东城,980,东四十条,3室1厅,76.14
东城,1688,远洋德邑,3室1厅,174.51
东城,2386,富贵园一区,3室2厅,153.58
东城,2384.5,国瑞城西区,4室1厅,251.13
东城,1362,恒基中心,3室2厅,168.14
东城,5600,中轴国际,4室3厅,452.8
东城,1430,民安小区东直门内北小街,4室2厅,151.64
东城,509,东花市北里中区,1室1厅,47.29
东城,1420,雍和家园二期,2室1厅,132.22
东城,1550,华普花园,3室2厅,200.13
东城,1050,东花市北里中区,4室2厅,128.25
东城,610,香河园北里,2室1厅,57.77
东城,1310,培新街乙5号院,3室2厅,135.98
东城,2650,中海紫御公馆,4室2厅,207.44
东城,2081,左安漪园,4室1厅,226.27
东城,4280,当代MOMA,5室2厅,378.29
东城,1100,京城仁合,3室2厅,117.88
东城,2050,富贵园一区,4室2厅,157.05
东城,2650,本家润园一期,4室2厅,229.6
东城,2230,和平里五区,6室2厅,182.46
东城,1950,花市枣苑一期,4室2厅,207.06
东城,2100,天坛公馆,3室1厅,149.82
东城,2800,贡院六号,4室1厅,303.85
东城,1120,安德里北街25号院,3室1厅,100.16
东城,899,金鱼池东区,3室2厅,125.42
东城,1380,悠胜美苑,4室4厅,202.39
东城,592,新中西街,2室1厅,57.74
东城,630,抽屉胡同,2室1厅,55.94
东城,3100,海晟名苑南区,3室2厅,209.03
东城,750,金鱼池中区,2室1厅,71.12
东城,1020,天利园,2室1厅,90.58
东城,860,天天家园,3室1厅,129.15
东城,638,香河园北里,2室1厅,59.34
东城,725,东花市北里中区,2室1厅,78.98
东城,520,火桥北里,2室1厅,54.33
东城,750,东四块玉南街,3室1厅,69.41
东城,750,鼎盛园,2室1厅,84.48
东城,720,小黄庄一区,2室1厅,68.39
东城,535,本家润园C区,1室1厅,50.86
东城,550,天坛北里,2室1厅,53.16
东城,888,国瑞城中区,2室1厅,81.47
东城,750,金鱼池中区,2室1厅,70.67
东城,930,东中街,2室1厅,78.73
东城,1050,和平里中街3号院,3室1厅,87.17
东城,752,安化北里,3室1厅,74.82
东城,1500,华府景园,3室2厅,137.2
东城,720,青年湖南里,2室1厅,55.6
东城,730,新中西里,3室1厅,60.71
东城,1050,小黄庄一区,3室1厅,90.28
东城,1080,交道口东大街,2室1厅,72.17
东城,1600,和平里五区,3室1厅,112.45
东城,980,东皇城根南街,3室1厅,78.25
东城,920,西堂子胡同,3室1厅,69.35
东城,935,华龙美晟,3室1厅,110.37
东城,720,广渠家园,1室2厅,74.99
东城,720,广渠家园,1室2厅,74.99
东城,768,西水井胡同,2室1厅,76.42
东城,850,胡家园小区,2室1厅,74.66
东城,3098,左安漪园,4室2厅,373.34
东城,1250,东花市北里中区,3室2厅,137.21
东城,799,天天家园,2室1厅,106.6
东城,920,富贵园三区,3室1厅,104.1
东城,1760,太华公寓,3室1厅,260.0
东城,635,胡家园小区,2室1厅,60.85
东城,860,光明楼,3室1厅,70.72
东城,918,朝阳门北小街,2室1厅,71.48
东城,925,安外西河沿,4室1厅,86.72
东城,879,朝阳门南小街,2室1厅,79.67
东城,1500,新奥洋房,3室2厅,151.17
东城,628,新太仓二巷,2室1厅,57.39
东城,565,禄米仓胡同,1室1厅,39.38
东城,635,后永康胡同2号院4号院,2室1厅,59.9
东城,679,安外花园,2室1厅,60.76
东城,746,青年湖东里,2室1厅,66.68
东城,580,什锦花园胡同21号院,1室1厅,34.56
东城,2180,法华南里,4室3厅,263.12
东城,1799,天天家园,4室2厅,192.91
东城,1280,南门仓胡同,4室2厅,123.88
东城,718,城市亮点,2室1厅,78.12
东城,820,东花市北里东区,3室1厅,99.02
东城,760,新中西街,3室1厅,75.4
东城,980,安德路47号院,3室1厅,82.74
东城,630,抽屉胡同,2室1厅,58.15
东城,535,定安里,3室1厅,66.63
东城,970,东环居苑,3室1厅,96.61
东城,730,前门东大街7号,2室1厅,66.46
东城,535,定安里,3室1厅,66.63
东城,1000,香河园北里,3室1厅,74.95
东城,820,水上华城,1室1厅,66.1
东城,1800,富贵园一区,3室2厅,143.03
东城,780,景泰西里西区,3室1厅,104.24
东城,665,新景家园东区,1室1厅,59.73
东城,460,西革新里124号,2室1厅,54.44
东城,763,城市亮点,2室1厅,84.46
东城,1158,西营房,3室1厅,110.48
东城,1410,安外东河沿,3室1厅,96.62
东城,596,东交民巷32号院,2室1厅,49.98
东城,945,悠胜美苑,3室2厅,104.4
东城,749,金鱼池西区,3室1厅,69.87
东城,820,兴隆都市馨园,2室1厅,73.91
东城,700,富贵园三区,1室1厅,63.74
东城,669,法华南里,2室1厅,65.18
东城,965,国瑞城东区,2室1厅,79.57
东城,1200,中海紫御公馆,2室2厅,91.9
东城,699,景泰西里西区,2室1厅,88.23
东城,895,天天家园,3室2厅,129.15
东城,800,安德里北街25号院,3室1厅,77.49
东城,620,金鱼池中区,3室1厅,70.11
东城,618,长青园,2室1厅,68.76
东城,1520,东花市北里西区,3室2厅,178.88
东城,840,海运仓小区,2室1厅,72.85
东城,630,前门东大街,2室1厅,55.75
东城,750,兴化路11号院,3室1厅,64.55
东城,1880,东中公寓,4室2厅,219.2
东城,1080,胜古中路1号院,3室2厅,148.9
东城,1500,悠胜美苑,5室2厅,264.58
东城,1248,胜古中路1号院,5室2厅,221.46
东城,998,金鱼池中区,4室2厅,144.64
东城,1290,兴隆都市馨园,4室2厅,130.36
东城,698,华龙美晟,3室1厅,67.53
东城,1880,富贵园一区,3室2厅,138.99
东城,2699,当代MOMA,4室2厅,303.02
东城,2650,本家润园一期,4室2厅,226.4
东城,2600,太华公寓,4室2厅,386.72
东城,2400,国瑞城西区,4室2厅,258.85
东城,1080,胜古中路1号院,3室2厅,148.9
东城,1100,东花市北里中区,3室1厅,107.02
东城,1880,东中公寓,4室2厅,219.2
东城,3100,本家润园一期,4室2厅,226.4
东城,1290,新景家园西区,3室1厅,117.79
东城,1850,花市枣苑二期,3室2厅,172.33
东城,950,金鱼池西区,4室2厅,117.6
东城,1480,新奥洋房,4室2厅,163.82
东城,1585,本家润园一期,3室1厅,125.98
东城,1230,东花市北里中区,3室2厅,135.41
东城,1860,左安浦园,4室1厅,204.1
东城,950,金鱼池西区,4室2厅,111.22
东城,1920,官书院,5室3厅,177.83
东城,1860,官书院,5室2厅,200.52
东城,1950,聚龙花园,4室3厅,336.92
东城,1200,新奥洋房,2室2厅,131.14
东城,1480,法华南里,4室1厅,196.99
东城,4980,海晟名苑南区,6室3厅,401.63
东城,1260,东花市北里中区,4室1厅,157.36
东城,1349,左安浦园,4室1厅,189.0
东城,1850,花市枣苑二期,3室2厅,172.33
东城,2400,国瑞城西区,4室2厅,258.85
东城,1080,胜古中路1号院,3室2厅,148.9
东城,1860,左安浦园,4室1厅,204.1
东城,3100,本家润园一期,4室2厅,226.4
东城,2100,聚龙花园,4室1厅,244.08
东城,1932,贡院九号,5室3厅,214.92
东城,1350,天坛西里东区,4室2厅,139.51
东城,950,金鱼池西区,4室2厅,111.22
东城,3100,花市枣苑一期,5室3厅,285.98
东城,1920,官书院,5室3厅,177.83
东城,1860,官书院,5室2厅,200.52
东城,1556,美惠大厦,4室2厅,259.25
东城,1500,悠胜美苑,5室2厅,264.58
东城,998,金鱼池中区,4室2厅,144.64
东城,1850,花市枣苑二期,3室1厅,183.8
东城,2268,贡院九号,5室3厅,252.46
东城,1670,新景家园东区,3室1厅,153.43
东城,1800,东花市北里西区,3室2厅,188.2
东城,1020,海运仓小区,3室2厅,81.27
东城,2720,朝阳首府,4室2厅,253.74
东城,3100,万国城MOMA,3室2厅,282.64
东城,4000,使馆壹号院,3室2厅,232.92
东城,2499,万国城MOMA,3室1厅,255.35
东城,4300,当代MOMA,4室2厅,419.7
东城,570,北河沿大街,1室1厅,41.47
东城,710,六铺炕,2室1厅,57.15
东城,789,和平里三区,2室1厅,56.71
东城,530,新景家园东区,1室0厅,41.38
东城,655,十字坡西里,2室1厅,56.6
东城,598,西营房,1室1厅,56.01
东城,700,朝阳门南小街,1室1厅,54.61
东城,528,阳照胡同,1室1厅,42.51
东城,242,雅安国际公寓,1室0厅,13.47
东城,585,广渠家园,1室1厅,54.27
东城,778,朝阳门内大街,2室1厅,68.96
东城,405,兴隆都市馨园,1室0厅,28.96
东城,830,金世纪嘉园,2室1厅,81.71
东城,1060,中绦胡同甲2号院,3室1厅,73.46
东城,430,三元街11号,2室1厅,49.83
东城,598,北官厅胡同甲二号院,1室1厅,45.94
东城,785,和平里三区,2室1厅,57.02
东城,950,民安小区东直门北中街,2室1厅,73.6
东城,960,和平里中街3号院,2室1厅,77.74
东城,845,交道口东大街,2室1厅,51.62
东城,610,赵堂子胡同,1室1厅,58.05
东城,980,和平里中街3号院,2室1厅,77.73
东城,900,安外东河沿,3室1厅,80.69
